Category,Wildorfarmed,Product,Energy_Demand_MJ_mean,Energy_Demand_MJ_SD,GHG_kg_CO2_eq_mean,GHG_kg_CO2_eq_SD,Acidification_kg_PO4_eq_mean,Acidification_kg_PO4_eq_SD,Eutrophication_kg_SO2_eq_mean,Eutrophication_kg_SO2_eq_SD,test
Fish,Farmed,Salmon,8.115,Ð,0.625,Ð,0.005,Ð,0.011,Ð,
Fish,Farmed,Salmon,15.204,Ð,Ð,Ð,Ð,Ð,Ð,Ð,
Fish,Farmed,Salmon,Ð,Ð,0.451,Ð,Ð,Ð,Ð,Ð,
Fish,Farmed,Carp,35.371,36.62,2.534,2.493,0.016,0.015,0.058,0.025,
Fish,Farmed,Catfish,92.036,64.745,8.29,4.867,0.056,0.03,0.052,0.023,
Fish,Farmed,Mollusks,3.628,2.046,0.198,0.206,0.019,0.046,Ð0.015,0,
Fish,Farmed,Salmon,7.603,0.742,0.49,0.079,0.003,0.001,0.023,0.001,
Fish,Farmed,Shrimp,61.326,51.946,5.993,5.105,0.052,0.057,0.034,0.018,
Fish,Farmed,Tilapia,32.795,20.684,3.002,2.565,0.018,0.012,0.055,0.021,
Fish,Farmed,Mollusks,Ð,Ð,0.529,0,0.005,0,0,0,
Fish,Farmed,Salmon,Ð,Ð,0.692,Ð,0.004,Ð,0.042,Ð,
Fish,Farmed,Shrimp,10.144,3.953,Ð,Ð,Ð,Ð,Ð,Ð,
Fish,Farmed,Shrimp,27.197,Ð,2.335,Ð,0.019,Ð,0.028,Ð,
Fish,Farmed,Salmon,10.445,2.814,0.734,0.186,0.007,0.002,0.017,0.004,
Fish,Wild,Smallpelagic,1.2,0.778,0.096,0.062,Ð,Ð,Ð,Ð,
Fish,Wild,Invertebrate,36.414,6.158,2.446,0.284,0.028,0.004,Ð,Ð,
Fish,Wild,Shrimp,27.874,Ð,7.14,7.414,Ð,Ð,0.004,Ð,
Fish,Wild,Smallpelagic,0,Ð,0.024,Ð,0,Ð,0,Ð,
Fish,Wild,Largepelagic,Ð,Ð,0.655,Ð,0.009,Ð,0.001,Ð,
Fish,Wild,Largepelagic,Ð,Ð,0.587,0.092,Ð,Ð,Ð,Ð,
Fish,Wild,Invertebrate,Ð,Ð,5.463,7.663,0.068,0.095,0.048,0.067,
Fish,Wild,Shrimp,Ð,Ð,1.3,Ð,0.017,Ð,0.012,Ð,
Fish,Wild,Smallpelagic,Ð,Ð,0.152,0.094,0.002,0.001,0.001,0.001,
Fish,Wild,Whitefish,Ð,Ð,1.452,1.291,0.017,0.016,0.013,0.011,
Fish,Wild,Whitefish,4.27,Ð,Ð,Ð,Ð,Ð,Ð,Ð,
Fish,Wild,Smallpelagic,Ð,Ð,0.769,0.524,0.009,0.006,0.002,0.001,
Fish,Wild,Whitefish,Ð,Ð,0.004,0.001,0,0,0,0,
Fish,Wild,Invertebrate,Ð,Ð,2.085,*,0.026,*,0.005,*,
Fish,Wild,Invertebrate,Ð,Ð,17.293,11.771,0.101,0.075,0.038,0.039,
Fish,Wild,Whitefish,14.562,Ð,Ð,Ð,Ð,Ð,Ð,Ð,
Livestock,Farmed,Pork,8.588,Ð,1.242,Ð,0.023,Ð,0.011,Ð,
Livestock,Farmed,Beef,Ð,Ð,6.651,Ð,Ð,Ð,Ð,Ð,
Livestock,Farmed,Pork,8.642,Ð,1.998,Ð,0.017,Ð,0.01,Ð,
Livestock,Farmed,Beef,2.697,Ð,4.904,Ð,Ð,Ð,Ð,Ð,
Livestock,Farmed,Beef,9.195,Ð,3.908,Ð,Ð,Ð,0.782,Ð,
Livestock,Farmed,Chicken,3.978,Ð,0.538,Ð,0.01,Ð,0.004,Ð,
Livestock,Farmed,Pork,0,Ð,1.011,Ð,0.009,Ð,0,Ð,
Livestock,Farmed,Beef,Ð,Ð,4.437,Ð,Ð,Ð,Ð,Ð,
Livestock,Farmed,Beef,Ð,Ð,5.644,Ð,0.057,Ð,0.202,Ð,
Livestock,Farmed,Chicken,Ð,Ð,1,Ð,0.018,Ð,0.034,Ð,
Livestock,Farmed,Pork,Ð,Ð,1.215,Ð,0.022,Ð,0.048,Ð,
Livestock,Farmed,Beef,Ð,Ð,7.05,Ð,0.101,Ð,0.013,Ð,
Livestock,Farmed,Beef,Ð,Ð,5.115,2.404,Ð,Ð,Ð,Ð,
Livestock,Farmed,Beef,38.851,Ð,8.368,Ð,0.078,Ð,0.014,Ð,
Livestock,Farmed,Beef,5.498,Ð,5.157,Ð,0.03,Ð,0.017,Ð,
Livestock,Farmed,Chicken,8.042,Ð,0.75,Ð,0.008,Ð,0.002,Ð,
Livestock,Farmed,Beef,21.342,2.527,8.141,1.094,Ð,Ð,0.059,0.009,
Livestock,Farmed,Pork,7.583,Ð,1.252,Ð,0.022,Ð,0.009,Ð,
Livestock,Farmed,Beef,Ð,Ð,3.352,3.157,Ð,Ð,Ð,Ð,
Livestock,Farmed,Beef,15.847,Ð,6.192,Ð,Ð,Ð,Ð,Ð,
Livestock,Farmed,Chicken,4.301,Ð,1.638,Ð,0.062,Ð,0.018,Ð,
Livestock,Farmed,Pork,6.494,Ð,2.473,Ð,0.154,Ð,0.039,Ð,
Livestock,Farmed,Pork,15.89,Ð,3.115,Ð,0.051,Ð,0.1,Ð,
