Product,stressor,value,LUC Burn,LUC C Stock,Feed,Farm,Prcssing,Tran & Str,Packging,"Ret
ail",Loss,
Maize,GHG_emissions,23.8,11.6,9.2,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,2.5,
Maize,GHG_emissions,1.3,3.00E-02,7.00E-02,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,1.2,2.00E-02,0.3,0,0.5,,,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,3.1,0,1.2,0,1.1,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.5,
Maize,GHG_emissions,0.8,0,0,0,0.5,8.00E-02,6.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,1.2,9.00E-02,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.3,2.00E-03,0.1,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,1.2,2.00E-03,0.1,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,1.4,7.00E-03,0.3,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,1.8,7.00E-03,0.6,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,3.2,3.00E-03,4.00E-02,0,2.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.5,
Maize,GHG_emissions,6.3,0.2,3.1,0,1.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.5,
Maize,GHG_emissions,10.8,0.6,7.4,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.9,
Maize,GHG_emissions,0.7,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.7,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
