"","x","y","layer_Categories","samples","yield","final_stressor","stressor"
"1",100,19900,"Corn",0.0616255378732732,6328.97725797332,390.02662771032,"GHG"
"2",300,19900,"Corn",0.178363239640689,3654.7258528035,651.868743104611,"GHG"
"3",500,19900,"Corn",1.0688142488338,9335.9409327777,9978.3866952235,"GHG"
"4",700,19900,"Corn",0.713319148994086,6283.31100063558,4482.00605583855,"GHG"
"5",900,19900,"Corn",2.02051004722225,8686.10131538397,17550.3549789237,"GHG"
"6",1100,19900,"Corn",0.312605887480868,4993.16724955089,1560.89347938626,"GHG"
"7",1300,19900,"Corn",1.1347606212626,8448.13235331599,9586.60791775751,"GHG"
"8",1500,19900,"Corn",1.78063523440373,7991.48797509414,14229.9250637664,"GHG"
"9",1700,19900,"Corn",0.865135017774269,7343.37076701873,6353.0071990478,"GHG"
"10",1900,19900,"Corn",0.695536441884427,8004.82174926166,5567.64523740053,"GHG"
"11",2100,19900,"Corn",0.686812474876859,11124.3415158749,7640.33652789341,"GHG"
"12",2300,19900,"Corn",0.685817443658856,7282.91109892579,4994.74747225999,"GHG"
"13",2500,19900,"Corn",0.868978379768428,7866.61553416771,6835.9188211422,"GHG"
"14",2700,19900,"Corn",0.984206336726116,10280.9731287276,10118.5989010047,"GHG"
"15",2900,19900,"Corn",0.748872709423257,5711.41312888976,4277.12142446724,"GHG"
"16",3100,19900,"Corn",0.127292935756674,7299.46250571729,929.170011798518,"GHG"
"17",3300,19900,"Corn",0.106227487180007,9119.36475358156,968.727202450889,"GHG"
"18",3500,19900,"Corn",0.732530421277286,7331.86848067627,5370.81670689944,"GHG"
"19",3700,19900,"Beef",16.6104848250875,16.6440443845172,276.465646677107,"GHG"
"20",3900,19900,"Beef",17.9318141449969,42.5913585689506,763.740326041345,"GHG"
"21",4100,19900,"Beef",5.00028484953382,32.9044676058391,164.531710851454,"GHG"
"22",4300,19900,"Beef",18.2716699603723,49.7687261326903,909.357738244672,"GHG"
"23",4500,19900,"Corn",0.835777692488462,9464.31778671722,7910.06568076003,"GHG"
"24",4700,19900,"Corn",0.664750529168628,6471.81021988717,4302.13926834893,"GHG"
"25",4900,19900,"Corn",0.60536597203874,6307.47787232811,3818.33247329475,"GHG"
"26",5100,19900,"Corn",0.727655237751397,7224.92005771858,5257.25092233405,"GHG"
"27",5300,19900,"Corn",1.71901537370895,12441.5462213835,21387.2092272686,"GHG"
"28",5500,19900,"Corn",2.20621523623291,7223.17320788874,15935.8747851935,"GHG"
"29",5700,19900,"Corn",0.937339969059741,7653.39985483604,7173.83758313383,"GHG"
"30",5900,19900,"Corn",0.309249873313954,8719.75661946663,2696.58362989857,"GHG"
"31",6100,19900,"Corn",0.315951762831854,5503.70966477449,1738.90677070021,"GHG"
"32",6300,19900,"Corn",1.03922573491808,6857.76810286274,7126.76909659527,"GHG"
"33",6500,19900,"Corn",0.895312379279878,10376.2986836721,9290.02866259716,"GHG"
"34",6700,19900,"Corn",0.14384608994308,8816.24393637602,1268.18221823208,"GHG"
"35",6900,19900,"Corn",0.73407112189861,9678.84050433968,7104.95730769834,"GHG"
"36",7100,19900,"Corn",0.461474787309527,4719.04218501309,2177.7189886336,"GHG"
"37",7300,19900,"Corn",0.57840387007465,5547.23090303407,3208.5398225126,"GHG"
"38",7500,19900,"Corn",1.71009854163158,4430.83373587566,7577.16230993297,"GHG"
"39",7700,19900,"Corn",1.31493894701112,8339.75143222568,10966.2639666253,"GHG"
"40",7900,19900,"Corn",0.433357742750696,7031.2551664427,3047.04886763378,"GHG"
"41",8100,19900,"Corn",0.0909819510681407,10265.3732780822,933.963689282671,"GHG"
"42",8300,19900,"Corn",1.77538680904173,7309.2157473059,12976.685222207,"GHG"
"43",8500,19900,"Corn",0.125982787338854,8003.43985022154,1008.29566062977,"GHG"
"44",8700,19900,"Corn",0.926225431969482,5787.82168768531,5360.82764283866,"GHG"
"45",8900,19900,"Corn",0.600033341418466,10423.4892405341,6254.44107823712,"GHG"
"46",9100,19900,"Corn",1.21258387079332,7140.05404484835,8657.91437137572,"GHG"
"47",9300,19900,"Beef",11.454446173763,43.7714723295484,501.37797374517,"GHG"
"48",9500,19900,"Beef",5.86931668932955,31.3168964557593,183.808783025793,"GHG"
"49",9700,19900,"Forest",NA,NA,NA,"GHG"
"50",9900,19900,"Forest",NA,NA,NA,"GHG"
"51",10100,19900,"Forest",NA,NA,NA,"GHG"
"52",10300,19900,"Beef",14.2340878500657,34.4169443938853,489.89381003339,"GHG"
"53",10500,19900,"Beef",17.968497246075,46.2872688564011,831.712662974575,"GHG"
"54",10700,19900,"Beef",5.5990809070826,40.5780602810426,227.199842566032,"GHG"
"55",10900,19900,"Beef",6.79122507246565,37.8994115185736,257.383433736631,"GHG"
"56",11100,19900,"Forest",NA,NA,NA,"GHG"
"57",11300,19900,"Forest",NA,NA,NA,"GHG"
"58",11500,19900,"Forest",NA,NA,NA,"GHG"
"59",11700,19900,"Forest",NA,NA,NA,"GHG"
"60",11900,19900,"Forest",NA,NA,NA,"GHG"
"61",12100,19900,"Forest",NA,NA,NA,"GHG"
"62",12300,19900,"Forest",NA,NA,NA,"GHG"
"63",12500,19900,"Forest",NA,NA,NA,"GHG"
"64",12700,19900,"Forest",NA,NA,NA,"GHG"
"65",12900,19900,"Forest",NA,NA,NA,"GHG"
"66",13100,19900,"Forest",NA,NA,NA,"GHG"
"67",13300,19900,"Forest",NA,NA,NA,"GHG"
"68",13500,19900,"Forest",NA,NA,NA,"GHG"
"69",13700,19900,"Forest",NA,NA,NA,"GHG"
"70",13900,19900,"Water",NA,NA,NA,"GHG"
"71",14100,19900,"Forest",NA,NA,NA,"GHG"
"72",14300,19900,"Forest",NA,NA,NA,"GHG"
"73",14500,19900,"Forest",NA,NA,NA,"GHG"
"74",14700,19900,"Forest",NA,NA,NA,"GHG"
"75",14900,19900,"Forest",NA,NA,NA,"GHG"
"76",15100,19900,"Forest",NA,NA,NA,"GHG"
"77",15300,19900,"Water",NA,NA,NA,"GHG"
"78",15500,19900,"Water",NA,NA,NA,"GHG"
"79",15700,19900,"Water",NA,NA,NA,"GHG"
"80",15900,19900,"Water",NA,NA,NA,"GHG"
"81",16100,19900,"Water",NA,NA,NA,"GHG"
"82",16300,19900,"Water",NA,NA,NA,"GHG"
"83",16500,19900,"Forest",NA,NA,NA,"GHG"
"84",16700,19900,"Water",NA,NA,NA,"GHG"
"85",16900,19900,"Water",NA,NA,NA,"GHG"
"86",17100,19900,"Water",NA,NA,NA,"GHG"
"87",17300,19900,"Water",NA,NA,NA,"GHG"
"88",17500,19900,"Salmon aquaculture",2.72175951113763,12906.2763784914,35127.7804865298,"GHG"
"89",17700,19900,"Water",NA,NA,NA,"GHG"
"90",17900,19900,"Water",NA,NA,NA,"GHG"
"91",18100,19900,"Water",NA,NA,NA,"GHG"
"92",18300,19900,"Water",NA,NA,NA,"GHG"
"93",18500,19900,"Water",NA,NA,NA,"GHG"
"94",18700,19900,"Water",NA,NA,NA,"GHG"
"95",18900,19900,"Water",NA,NA,NA,"GHG"
"96",19100,19900,"Water",NA,NA,NA,"GHG"
"97",19300,19900,"Water",NA,NA,NA,"GHG"
"98",19500,19900,"Water",NA,NA,NA,"GHG"
"99",19700,19900,"Water",NA,NA,NA,"GHG"
"100",19900,19900,"Water",NA,NA,NA,"GHG"
