"","x","y","layer_Categories","cum_stress"
"1",100,100,"Forest",0
"2",100,300,"Water",0
"3",100,500,"Water",0
"4",100,700,"Water",0
"5",100,900,"Water",0
"6",100,1100,"Water",0
"7",100,1300,"Water",0
"8",100,1500,"Water",0
"9",100,1700,"Water",0
"10",100,1900,"Water",0
"11",100,2100,"Water",0
"12",100,2300,"Water",0
"13",100,2500,"Water",0
"14",100,2700,"Water",0
"15",100,2900,"Forest",0
"16",100,3100,"Forest",0
"17",100,3300,"Forest",0
"18",100,3500,"Forest",0
"19",100,3700,"Forest",0
"20",100,3900,"Forest",0
"21",100,4100,"Forest",0
"22",100,4300,"Forest",0
"23",100,4500,"Forest",0
"24",100,4700,"Forest",0
"25",100,4900,"Forest",0
"26",100,5100,"Forest",0
"27",100,5300,"Forest",0
"28",100,5500,"Beef",1.00272766798555
"29",100,5700,"Forest",0
"30",100,5900,"Beef",1.00101955275518
"31",100,6100,"Forest",0
"32",100,6300,"Beef",1.01311494802156
"33",100,6500,"Corn",1.04684850393333
"34",100,6700,"Corn",1.07163566150445
"35",100,6900,"Corn",1.05292630211015
"36",100,7100,"Corn",1.01601318467524
"37",100,7300,"Corn",1.01648219267774
"38",100,7500,"Beef",1.00899753084394
"39",100,7700,"Corn",1.03706783643867
"40",100,7900,"Corn",1.03033083083833
"41",100,8100,"Corn",1.00289195671871
"42",100,8300,"Corn",1.02095165131548
"43",100,8500,"Corn",1.04740180610348
"44",100,8700,"Corn",1.0568643199178
"45",100,8900,"Corn",1.00878804117351
"46",100,9100,"Corn",1.01641274523661
"47",100,9300,"Corn",1.07907307074842
"48",100,9500,"Corn",1.20728818614908
"49",100,9700,"Corn",1.11230144663896
"50",100,9900,"Corn",1.01874250952944
"51",100,10100,"Beef",1.00415930757954
"52",100,10300,"Corn",1.02153268621861
"53",100,10500,"Beef",1.00327458752685
"54",100,10700,"Beef",1.00724182265673
"55",100,10900,"Beef",1.05094185303674
"56",100,11100,"Corn",1.00637647118297
"57",100,11300,"Corn",1.13538250806498
"58",100,11500,"Corn",1.0446425667215
"59",100,11700,"Corn",1.10010603420562
"60",100,11900,"Beef",1.00505903607988
"61",100,12100,"Beef",1.00087774587624
"62",100,12300,"Forest",0
"63",100,12500,"Beef",1.00326999889051
"64",100,12700,"Beef",1.00101816722608
"65",100,12900,"Forest",0
"66",100,13100,"Forest",0
"67",100,13300,"Forest",0
"68",100,13500,"Forest",0
"69",100,13700,"Forest",0
"70",100,13900,"Forest",0
"71",100,14100,"Forest",0
"72",100,14300,"Forest",0
"73",100,14500,"Forest",0
"74",100,14700,"Forest",0
"75",100,14900,"Forest",0
"76",100,15100,"Forest",0
"77",100,15300,"Forest",0
"78",100,15500,"Forest",0
"79",100,15700,"Forest",0
"80",100,15900,"Forest",0
"81",100,16100,"Forest",0
"82",100,16300,"Forest",0
"83",100,16500,"Beef",1.00754511658304
"84",100,16700,"Beef",1.00429897995524
"85",100,16900,"Corn",1.13495094254653
"86",100,17100,"Corn",1.03893344722586
"87",100,17300,"Corn",1.01518659196971
"88",100,17500,"Corn",1.00587850119215
"89",100,17700,"Corn",1.06866791891237
"90",100,17900,"Corn",1.04077642770237
"91",100,18100,"Corn",1.04929337315107
"92",100,18300,"Corn",1.02977210238936
"93",100,18500,"Corn",1.00998656573651
"94",100,18700,"Corn",1.04478410552979
"95",100,18900,"Corn",1.13912466192173
"96",100,19100,"Corn",1.00916381842843
"97",100,19300,"Corn",1.07990791453905
"98",100,19500,"Corn",1.01193687390078
"99",100,19700,"Corn",1.06050751007841
"100",100,19900,"Corn",1.00188993667688
"101",300,100,"Water",0
"102",300,300,"Water",0
"103",300,500,"Water",0
"104",300,700,"Water",0
"105",300,900,"Water",0
"106",300,1100,"Water",0
"107",300,1300,"Water",0
"108",300,1500,"Water",0
"109",300,1700,"Water",0
"110",300,1900,"Water",0
