"","Category","High_kg_ha","Low_kg_ha","Freq","SD","ymean","yield_samples"
"1","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,6328.97725797332
"2","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,3654.7258528035
"3","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,9335.9409327777
"4","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,6283.31100063558
"5","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,8686.10131538397
"6","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,4993.16724955089
"7","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,8448.13235331599
"8","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7991.48797509414
"9","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7343.37076701873
"10","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,8004.82174926166
"11","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,11124.3415158749
"12","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7282.91109892579
"13","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7866.61553416771
"14","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,10280.9731287276
"15","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,5711.41312888976
"16","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7299.46250571729
"17","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,9119.36475358156
"18","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7331.86848067627
"19","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,9464.31778671722
"20","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,6471.81021988717
"21","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,6307.47787232811
"22","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7224.92005771858
"23","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,12441.5462213835
"24","Maize (Meal)",12000,4000,1074,2040.81632653061,8000,7223.17320788874
